genename	bnum	geneid	isNonUnique
yfcF	b2301	gene2357	FALSE
yfcG	b2302	gene2358	FALSE
nikR	b3481	gene3541	FALSE
yfcZ	b2343	gene2398	FALSE
yraR	b3152	gene3210	FALSE
pliG	b1178	gene1195	FALSE
gltW	b2590	gene2656	FALSE
yfcP	b2333	gene2389	FALSE
yfcQ	b2334	gene2390	FALSE
yfcR	b2335	gene2391	FALSE
yfcS	b2336	gene2392	FALSE
yfcU	b4661	gene2393	FALSE
yfcV	b2339	gene2394	FALSE
glnK	b0450	gene455	FALSE
gltI	b0655	gene669	FALSE
dgkA	b4042	gene4124	FALSE
glnH	b0811	gene824	FALSE
ddpX	b1488	gene1522	FALSE
fucP	b2801	gene2862	FALSE
glnB	b2553	gene2616	FALSE
glnA	b3870	gene3951	FALSE
glnG	b3868	gene3949	FALSE
glnE	b3053	gene3114	FALSE
glnD	b0167	gene163	FALSE
rnc	b2567	gene2633	FALSE
glnX	b0664	gene677	FALSE
ptsP	b2829	gene2891	FALSE
glnS	b0680	gene690	FALSE
glnQ	b0809	gene822	FALSE
glnP	b0810	gene823	FALSE
glnW	b0668	gene680	FALSE
glnV	b0665	gene678	FALSE
glnU	b0670	gene681	FALSE
patD	b1444	gene1479	FALSE
cynX	b0341	gene350	FALSE
smf	b4473	gene3346	FALSE
cynT	b0339	gene348	FALSE
dadA	b1189	gene1206	FALSE
cynS	b0340	gene349	FALSE
glxR	b0509	gene515	FALSE
cspF	b1558	gene1595	FALSE
yoaF	b1793	gene1835	FALSE
dadX	b1190	gene1207	FALSE
glxK	b0514	gene519	FALSE
rnd	b1804	gene1848	FALSE
raiA	b2597	gene2663	FALSE
gltB	b3212	gene3273	FALSE
ilvE	b3770	gene3851	FALSE
ptsH	b2415	gene2474	FALSE
yraQ	b3151	gene3209	FALSE
gltD	b3213	gene3274	FALSE
yneJ	b1526	gene1559	FALSE
yneK	b1527	gene1560	FALSE
yneO	b4696	gene1543	FALSE
yneL	b1506	gene1540	FALSE
yneM	b4599	gene1568	FALSE
gadX	b3516	gene3581	FALSE
epd	b2927	gene2991	FALSE
gltF	b3214	gene3275	FALSE
yneF	b1522	gene1555	FALSE
yneG	b1523	gene1556	FALSE
topA	b1274	gene1297	FALSE
mokB	b1420	gene1454	FALSE
rsmB	b3289	gene3349	FALSE
yhgN	b3434	gene3494	FALSE
ilvD	b3771	gene3852	FALSE
rsmA	b0051	gene50	FALSE
rsmF	b1835	gene1880	FALSE
rsmG	b3740	gene3822	FALSE
rsmD	b3465	gene3525	FALSE
rsmE	b2946	gene3008	FALSE
rsmJ	b3497	gene3557	FALSE
rsmH	b0082	gene81	FALSE
yecT	b1877	gene1925	FALSE
yecS	b1918	gene1966	FALSE
yecR	b1904	gene1952	FALSE
gntK	b3437	gene3496	FALSE
yecN	b1869	gene1917	FALSE
yecM	b1875	gene1923	FALSE
maeB	b2463	gene2522	FALSE
yecJ	b4537	gene1950	FALSE
yecH	b1906	gene1954	FALSE
yecF	b1915	gene1963	FALSE
yecE	b1868	gene1916	FALSE
yecD	b1867	gene1915	FALSE
yecC	b1917	gene1965	FALSE
yecA	b1908	gene1956	FALSE
ydiE	b1705	gene1747	FALSE
kgtP	b2587	gene2653	FALSE
yifE	b3764	gene3845	FALSE
yjjU	b4377	gene4470	FALSE
ptsG	b1101	gene1115	FALSE
sgbE	b3583	gene3654	FALSE
yqiK	b3051	gene3108	FALSE
rnk	b0610	gene625	FALSE
